listing_id,source,name,category,phone,address,city,state,proof,status,notes
42,Facebook Group,Pet Pet Trainer 42,Pet Trainer,9119619947,NA,Bangalore,Karnataka,Maps listing,Needs Fix,Phone missing
43,Justdial,Trust Pet Groomer 43,Pet Groomer,NA,Residential area,Gurgaon,Haryana,Maps listing,Needs Fix,
44,Justdial,Care Pet Trainer 44,Pet Trainer,+91 6768421665,Sector area,Jaipur,Rajasthan,Justdial page,Needs Review,Address incomplete
45,Google Maps,Trust Vet Hospital 45,Vet Hospital,9323074312,Opposite park,Chennai,Tamil Nadu,WhatsApp message,Needs Fix,Phone missing
46,Community Referral,Pet Pet Trainer 46,Pet Trainer,+91 8573766365,Sector area,Gurgaon,Haryana,WhatsApp message,Submitted,Address incomplete
47,Justdial,Happy NGO 47,NGO,+91 8286310606,Residential area,Pune,Maharashtra,Instagram page,Submitted,Possible duplicate
48,WhatsApp Submission,Care Pet Trainer 48,Pet Trainer,NA,Opposite park,Chennai,Tamil Nadu,Maps listing,Ready,Address incomplete
49,WhatsApp Submission,Tails Pet Trainer 49,Pet Trainer,+91 9424223848,Residential area,Noida,Uttar Pradesh,Maps listing,Ready,Phone missing
50,Instagram,Happy Pet Shop 50,Pet Shop,NA,Sector area,Noida,Uttar Pradesh,WhatsApp message,Submitted,Possible duplicate
51,Google Maps,Trust Pet Trainer 51,Pet Trainer,9276772958,Opposite park,Bhopal,Madhya Pradesh,Referral,Needs Fix,Possible duplicate
52,Facebook Group,Pet Pet Boarding 52,Pet Boarding,+91 9907458636,Residential area,Mumbai,Maharashtra,Maps listing,Ready,Phone missing
53,WhatsApp Submission,Paws Pet Shop 53,Pet Shop,+91 7310848406,Near main road,Delhi,Delhi,Justdial page,Submitted,
54,Community Referral,Pet Pet Shop 54,Pet Shop,+91 7606534163,Opposite park,Pune,Maharashtra,Instagram page,Verified,Possible duplicate
55,Justdial,Pet NGO 55,NGO,NA,Opposite park,Bhopal,Madhya Pradesh,Justdial page,Needs Fix,Phone missing
56,Google Maps,Care Pet Boarding 56,Pet Boarding,NA,Sector area,Bangalore,Karnataka,Referral,Submitted,Possible duplicate
57,WhatsApp Submission,Trust Vet Hospital 57,Vet Hospital,+91 8645115241,Residential area,Delhi,Delhi,Maps listing,Needs Review,
58,WhatsApp Submission,Paws NGO 58,NGO,+91 9710983326,Opposite park,Bhopal,Madhya Pradesh,Maps listing,Submitted,Possible duplicate
59,Facebook Group,Pet Vet Clinic 59,Vet Clinic,NA,NA,Gurgaon,Haryana,Instagram page,Submitted,Address incomplete
60,Justdial,Pet Pet Boarding 60,Pet Boarding,NA,Sector area,Mumbai,Maharashtra,Justdial page,Verified,Possible duplicate
61,WhatsApp Submission,Paws Pet Boarding 61,Pet Boarding,+91 6813099730,Residential area,Indore,Madhya Pradesh,Instagram page,Ready,Phone missing
62,Google Maps,Trust NGO 62,NGO,NA,NA,Bangalore,Karnataka,Referral,Submitted,Phone missing
63,WhatsApp Submission,Trust Pet Shop 63,Pet Shop,NA,NA,Gurgaon,Haryana,WhatsApp message,Needs Fix,
64,Instagram,Animal Pet Groomer 64,Pet Groomer,NA,Residential area,Bangalore,Karnataka,WhatsApp message,Ready,Possible duplicate
65,WhatsApp Submission,Animal Pet Boarding 65,Pet Boarding,+91 9947957330,NA,Pune,Maharashtra,Referral,Needs Review,Phone missing
66,Justdial,Trust Pet Shop 66,Pet Shop,9323973233,Opposite park,Indore,Madhya Pradesh,Referral,Needs Fix,Phone missing
67,Community Referral,Care Pet Trainer 67,Pet Trainer,+91 9628285366,Sector area,Bangalore,Karnataka,Instagram page,Verified,Possible duplicate
68,Google Maps,Paws Pet Boarding 68,Pet Boarding,NA,Sector area,Mumbai,Maharashtra,Referral,Needs Fix,Possible duplicate
69,Justdial,Animal NGO 69,NGO,9678040369,Residential area,Bhopal,Madhya Pradesh,Instagram page,Submitted,Possible duplicate
70,Facebook Group,Animal Vet Clinic 70,Vet Clinic,9365655942,NA,Bangalore,Karnataka,WhatsApp message,Needs Fix,
71,Facebook Group,Animal NGO 71,NGO,+91 6275110518,Opposite park,Pune,Maharashtra,Maps listing,Ready,Phone missing
72,Google Maps,Care Pet Groomer 72,Pet Groomer,9812409074,Sector area,Jaipur,Rajasthan,Maps listing,Ready,
73,Justdial,Trust Pet Trainer 73,Pet Trainer,NA,Opposite park,Mumbai,Maharashtra,WhatsApp message,Verified,Address incomplete
74,Facebook Group,Happy NGO 74,NGO,+91 8240321099,Sector area,Chennai,Tamil Nadu,Maps listing,Needs Review,Phone missing
75,Community Referral,Pet Pet Boarding 75,Pet Boarding,NA,Residential area,Noida,Uttar Pradesh,WhatsApp message,Verified,
76,Justdial,Trust Pet Trainer 76,Pet Trainer,+91 8282675621,Opposite park,Chennai,Tamil Nadu,Referral,Needs Review,Phone missing
77,Justdial,Pet Pet Boarding 77,Pet Boarding,9406565079,Opposite park,Jaipur,Rajasthan,Referral,Verified,Possible duplicate
78,Facebook Group,Pet Pet Boarding 78,Pet Boarding,+91 7281077862,Sector area,Chennai,Tamil Nadu,Referral,Verified,Address incomplete
79,Justdial,Care Vet Clinic 79,Vet Clinic,9263758768,Near main road,Noida,Uttar Pradesh,Instagram page,Verified,Phone missing
80,Justdial,Trust Pet Shop 80,Pet Shop,9744733006,Near main road,Bangalore,Karnataka,Justdial page,Needs Fix,Phone missing
81,Instagram,Pet Feeder 81,Feeder,9474670137,Residential area,Gurgaon,Haryana,Instagram page,Needs Fix,Phone missing
82,WhatsApp Submission,Happy Pet Groomer 82,Pet Groomer,9924879398,Sector area,Jaipur,Rajasthan,Justdial page,Ready,
83,Community Referral,Care Feeder 83,Feeder,9818098781,Residential area,Jaipur,Rajasthan,Maps listing,Submitted,Address incomplete
84,WhatsApp Submission,Care NGO 84,NGO,NA,Opposite park,Bangalore,Karnataka,Justdial page,Submitted,Phone missing
85,WhatsApp Submission,Pet Feeder 85,Feeder,NA,Opposite park,Delhi,Delhi,WhatsApp message,Ready,Phone missing
86,Facebook Group,Care Vet Clinic 86,Vet Clinic,+91 6428430352,Sector area,Bangalore,Karnataka,Instagram page,Verified,Possible duplicate
87,WhatsApp Submission,Paws Vet Hospital 87,Vet Hospital,+91 7042056318,Sector area,Jaipur,Rajasthan,Maps listing,Needs Review,Phone missing
88,WhatsApp Submission,Care Feeder 88,Feeder,NA,Opposite park,Pune,Maharashtra,Maps listing,Ready,Phone missing
89,WhatsApp Submission,Pet NGO 89,NGO,9780619748,Near main road,Chennai,Tamil Nadu,Maps listing,Submitted,Phone missing
90,Justdial,Tails Pet Shop 90,Pet Shop,+91 7561781024,Residential area,Delhi,Delhi,Maps listing,Needs Fix,
91,Google Maps,Pet Pet Groomer 91,Pet Groomer,9569872714,NA,Pune,Maharashtra,Referral,Verified,Possible duplicate
92,Justdial,Trust Vet Hospital 92,Vet Hospital,NA,Near main road,Delhi,Delhi,Maps listing,Ready,Possible duplicate
93,Instagram,Trust Vet Hospital 93,Vet Hospital,+91 7238959801,Sector area,Bhopal,Madhya Pradesh,Maps listing,Needs Fix,Possible duplicate
94,Facebook Group,Trust Pet Shop 94,Pet Shop,NA,Opposite park,Bhopal,Madhya Pradesh,Referral,Verified,
95,Instagram,Tails NGO 95,NGO,NA,Residential area,Pune,Maharashtra,WhatsApp message,Verified,Possible duplicate
96,Facebook Group,Pet Feeder 96,Feeder,+91 7026218474,Residential area,Gurgaon,Haryana,Instagram page,Needs Fix,Possible duplicate
97,Community Referral,Trust Vet Hospital 97,Vet Hospital,9266056806,Opposite park,Delhi,Delhi,Referral,Needs Fix,Address incomplete
98,Justdial,Pet Pet Shop 98,Pet Shop,NA,NA,Gurgaon,Haryana,Referral,Needs Fix,Phone missing
99,Community Referral,Paws Pet Shop 99,Pet Shop,+91 7181275274,Sector area,Noida,Uttar Pradesh,Maps listing,Verified,
100,Community Referral,Trust NGO 100,NGO,9907093019,Opposite park,Chennai,Tamil Nadu,Referral,Needs Review,Possible duplicate
101,Facebook Group,Paws Pet Shop 101,Pet Shop,+91 7461554420,Opposite park,Pune,Maharashtra,Justdial page,Ready,Address incomplete
102,Google Maps,Pet Pet Shop 102,Pet Shop,9488365979,Near main road,Delhi,Delhi,Maps listing,Needs Review,
103,Community Referral,Tails Pet Boarding 103,Pet Boarding,9507007905,Residential area,Jaipur,Rajasthan,Justdial page,Ready,
104,Google Maps,Pet Pet Trainer 104,Pet Trainer,NA,Near main road,Chennai,Tamil Nadu,Maps listing,Ready,Phone missing
105,WhatsApp Submission,Happy NGO 105,NGO,+91 9508224629,Near main road,Bangalore,Karnataka,Instagram page,Needs Review,Phone missing
106,Instagram,Pet Pet Groomer 106,Pet Groomer,9563372661,NA,Pune,Maharashtra,Maps listing,Submitted,
107,Community Referral,Care Vet Clinic 107,Vet Clinic,NA,Near main road,Delhi,Delhi,Referral,Needs Review,Possible duplicate
108,Community Referral,Pet Pet Trainer 108,Pet Trainer,+91 8941698125,Residential area,Jaipur,Rajasthan,Instagram page,Verified,Address incomplete
109,Community Referral,Happy Vet Hospital 109,Vet Hospital,+91 9011833217,Sector area,Mumbai,Maharashtra,Referral,Submitted,Phone missing
110,Facebook Group,Pet Pet Trainer 110,Pet Trainer,NA,Opposite park,Noida,Uttar Pradesh,Justdial page,Submitted,Address incomplete
111,Instagram,Care Vet Hospital 111,Vet Hospital,+91 7345760515,Near main road,Indore,Madhya Pradesh,Justdial page,Needs Fix,Address incomplete
112,Community Referral,Happy NGO 112,NGO,NA,NA,Bhopal,Madhya Pradesh,Referral,Needs Fix,
113,Justdial,Paws Pet Trainer 113,Pet Trainer,NA,Near main road,Chennai,Tamil Nadu,WhatsApp message,Ready,
114,Community Referral,Tails Feeder 114,Feeder,NA,NA,Chennai,Tamil Nadu,Instagram page,Submitted,Address incomplete
115,Community Referral,Trust NGO 115,NGO,NA,Near main road,Bhopal,Madhya Pradesh,Instagram page,Submitted,Address incomplete
116,Community Referral,Happy Pet Trainer 116,Pet Trainer,9835453583,Near main road,Noida,Uttar Pradesh,WhatsApp message,Needs Fix,Phone missing
117,Community Referral,Trust Vet Hospital 117,Vet Hospital,9494199550,NA,Chennai,Tamil Nadu,Referral,Needs Review,Phone missing
118,Instagram,Paws Vet Clinic 118,Vet Clinic,NA,Near main road,Chennai,Tamil Nadu,WhatsApp message,Needs Fix,Phone missing
119,WhatsApp Submission,Care Pet Groomer 119,Pet Groomer,9298595856,Residential area,Noida,Uttar Pradesh,Justdial page,Verified,Possible duplicate
120,Justdial,Animal Feeder 120,Feeder,NA,NA,Delhi,Delhi,Referral,Ready,Phone missing
121,Google Maps,Tails NGO 121,NGO,NA,Opposite park,Gurgaon,Haryana,Maps listing,Needs Fix,Possible duplicate
122,Community Referral,Animal Pet Boarding 122,Pet Boarding,9585975135,Residential area,Noida,Uttar Pradesh,Justdial page,Needs Fix,
123,Facebook Group,Tails NGO 123,NGO,9969910943,NA,Bhopal,Madhya Pradesh,Instagram page,Needs Fix,Phone missing
124,Google Maps,Care Pet Trainer 124,Pet Trainer,+91 6948696885,Near main road,Mumbai,Maharashtra,Referral,Needs Fix,
125,Google Maps,Tails Vet Clinic 125,Vet Clinic,9889738614,Near main road,Bangalore,Karnataka,WhatsApp message,Needs Fix,
126,Google Maps,Happy Feeder 126,Feeder,NA,NA,Gurgaon,Haryana,Justdial page,Needs Fix,Address incomplete
127,Facebook Group,Paws Feeder 127,Feeder,NA,Residential area,Bangalore,Karnataka,Maps listing,Verified,Possible duplicate
128,Google Maps,Paws NGO 128,NGO,9791062975,NA,Bangalore,Karnataka,Justdial page,Ready,
129,Justdial,Paws Pet Groomer 129,Pet Groomer,+91 6923601647,Residential area,Gurgaon,Haryana,Maps listing,Needs Fix,Phone missing
130,Facebook Group,Animal Vet Hospital 130,Vet Hospital,9554361485,NA,Indore,Madhya Pradesh,Justdial page,Needs Review,
131,Community Referral,Care Pet Shop 131,Pet Shop,+91 6505909966,NA,Pune,Maharashtra,WhatsApp message,Verified,
132,Google Maps,Tails Pet Shop 132,Pet Shop,9154896118,Sector area,Bhopal,Madhya Pradesh,Maps listing,Submitted,
133,Instagram,Happy Pet Trainer 133,Pet Trainer,9830203445,Residential area,Delhi,Delhi,Maps listing,Verified,Address incomplete
134,Instagram,Pet Pet Trainer 134,Pet Trainer,NA,Near main road,Gurgaon,Haryana,WhatsApp message,Submitted,
135,Justdial,Animal NGO 135,NGO,+91 8140457257,Opposite park,Noida,Uttar Pradesh,Referral,Verified,Address incomplete
136,Facebook Group,Animal Vet Hospital 136,Vet Hospital,NA,Near main road,Mumbai,Maharashtra,Referral,Needs Fix,
137,Google Maps,Pet Feeder 137,Feeder,9993738814,Near main road,Bhopal,Madhya Pradesh,Justdial page,Needs Review,Address incomplete
138,WhatsApp Submission,Tails Vet Hospital 138,Vet Hospital,9771013500,Near main road,Bangalore,Karnataka,WhatsApp message,Verified,
139,Instagram,Tails Vet Clinic 139,Vet Clinic,+91 6985872678,NA,Bhopal,Madhya Pradesh,Maps listing,Ready,
140,Community Referral,Animal Vet Hospital 140,Vet Hospital,9898174131,Sector area,Pune,Maharashtra,Maps listing,Verified,
141,Facebook Group,Care Vet Clinic 141,Vet Clinic,9639244624,NA,Noida,Uttar Pradesh,WhatsApp message,Verified,Possible duplicate
142,Instagram,Care Vet Hospital 142,Vet Hospital,+91 8758217663,Residential area,Jaipur,Rajasthan,Justdial page,Ready,Phone missing
143,Facebook Group,Trust NGO 143,NGO,+91 9338809721,Residential area,Noida,Uttar Pradesh,Maps listing,Ready,Possible duplicate
144,Facebook Group,Pet Pet Boarding 144,Pet Boarding,NA,NA,Bhopal,Madhya Pradesh,WhatsApp message,Needs Fix,Address incomplete
145,Instagram,Animal Pet Trainer 145,Pet Trainer,+91 9090288784,Near main road,Gurgaon,Haryana,Referral,Needs Fix,Possible duplicate
146,Facebook Group,Care Pet Boarding 146,Pet Boarding,9664933784,NA,Mumbai,Maharashtra,Instagram page,Needs Review,Address incomplete
147,Google Maps,Happy Vet Clinic 147,Vet Clinic,+91 9619496675,Sector area,Bhopal,Madhya Pradesh,WhatsApp message,Verified,
148,Facebook Group,Pet Pet Boarding 148,Pet Boarding,NA,Near main road,Pune,Maharashtra,Justdial page,Submitted,Possible duplicate
149,Facebook Group,Animal Pet Trainer 149,Pet Trainer,9366240030,NA,Delhi,Delhi,Justdial page,Ready,Possible duplicate
150,Instagram,Trust Feeder 150,Feeder,NA,Opposite park,Bhopal,Madhya Pradesh,Justdial page,Submitted,
151,Community Referral,Care Feeder 151,Feeder,NA,Opposite park,Noida,Uttar Pradesh,Referral,Needs Review,Phone missing
152,Facebook Group,Tails Pet Shop 152,Pet Shop,+91 8138060287,Opposite park,Noida,Uttar Pradesh,Referral,Submitted,Address incomplete
153,Instagram,Tails Pet Trainer 153,Pet Trainer,+91 7487366125,Near main road,Gurgaon,Haryana,Maps listing,Ready,Address incomplete
154,Justdial,Happy Pet Boarding 154,Pet Boarding,+91 9430329731,Opposite park,Delhi,Delhi,Instagram page,Ready,
155,WhatsApp Submission,Happy Pet Trainer 155,Pet Trainer,9986192404,Sector area,Jaipur,Rajasthan,Referral,Needs Fix,Phone missing
156,Facebook Group,Care NGO 156,NGO,9220680707,Near main road,Jaipur,Rajasthan,Instagram page,Submitted,Address incomplete
157,Facebook Group,Paws Pet Boarding 157,Pet Boarding,9176710664,Sector area,Pune,Maharashtra,Justdial page,Needs Fix,Phone missing
158,WhatsApp Submission,Tails Pet Groomer 158,Pet Groomer,9534235106,Residential area,Delhi,Delhi,Justdial page,Submitted,
159,Google Maps,Pet Pet Trainer 159,Pet Trainer,9943457608,Near main road,Pune,Maharashtra,Referral,Ready,Address incomplete
160,Instagram,Trust Pet Groomer 160,Pet Groomer,NA,Near main road,Jaipur,Rajasthan,Justdial page,Needs Fix,Phone missing
161,Google Maps,Pet Pet Groomer 161,Pet Groomer,NA,Near main road,Chennai,Tamil Nadu,Maps listing,Needs Fix,
162,Facebook Group,Paws Pet Boarding 162,Pet Boarding,+91 8875149075,Sector area,Noida,Uttar Pradesh,Referral,Needs Fix,
163,Justdial,Trust Pet Groomer 163,Pet Groomer,+91 7646967168,Sector area,Jaipur,Rajasthan,Justdial page,Ready,Address incomplete
164,Justdial,Pet NGO 164,NGO,9509603295,Opposite park,Bhopal,Madhya Pradesh,Maps listing,Needs Review,Phone missing
165,WhatsApp Submission,Pet Vet Clinic 165,Vet Clinic,+91 8674002373,Near main road,Bangalore,Karnataka,Justdial page,Needs Fix,
166,Facebook Group,Paws Pet Groomer 166,Pet Groomer,9995250122,Near main road,Bangalore,Karnataka,WhatsApp message,Verified,
167,Justdial,Paws Pet Boarding 167,Pet Boarding,9857628536,Opposite park,Mumbai,Maharashtra,Maps listing,Needs Fix,Phone missing
168,Community Referral,Animal Feeder 168,Feeder,9144670336,Opposite park,Delhi,Delhi,Referral,Needs Review,Address incomplete
169,Community Referral,Animal Pet Trainer 169,Pet Trainer,NA,Sector area,Indore,Madhya Pradesh,Maps listing,Verified,
170,Community Referral,Animal Vet Clinic 170,Vet Clinic,9405506317,Sector area,Noida,Uttar Pradesh,Justdial page,Ready,
171,Facebook Group,Care Pet Trainer 171,Pet Trainer,9454139637,Near main road,Indore,Madhya Pradesh,Instagram page,Needs Fix,Possible duplicate
172,Justdial,Animal Feeder 172,Feeder,9476729263,Near main road,Gurgaon,Haryana,Justdial page,Ready,Phone missing
173,Instagram,Care Pet Boarding 173,Pet Boarding,NA,Opposite park,Bhopal,Madhya Pradesh,Maps listing,Needs Fix,Phone missing
174,Justdial,Tails NGO 174,NGO,+91 7701474763,Residential area,Pune,Maharashtra,Maps listing,Needs Fix,Possible duplicate
175,WhatsApp Submission,Care Pet Groomer 175,Pet Groomer,NA,Residential area,Pune,Maharashtra,WhatsApp message,Ready,Phone missing
176,WhatsApp Submission,Tails Pet Trainer 176,Pet Trainer,+91 6355713788,Near main road,Bangalore,Karnataka,WhatsApp message,Verified,
177,Facebook Group,Pet Pet Trainer 177,Pet Trainer,NA,Opposite park,Pune,Maharashtra,Instagram page,Verified,Address incomplete
178,Community Referral,Paws Pet Groomer 178,Pet Groomer,+91 8240034344,Opposite park,Delhi,Delhi,Instagram page,Needs Fix,Possible duplicate
179,Instagram,Pet Pet Groomer 179,Pet Groomer,9227308040,Opposite park,Gurgaon,Haryana,WhatsApp message,Verified,Address incomplete
180,Facebook Group,Care Pet Shop 180,Pet Shop,NA,Near main road,Noida,Uttar Pradesh,WhatsApp message,Needs Review,Possible duplicate
181,Facebook Group,Happy Feeder 181,Feeder,+91 6285350805,Near main road,Delhi,Delhi,Maps listing,Needs Review,
182,Community Referral,Animal Pet Shop 182,Pet Shop,9595992013,Opposite park,Indore,Madhya Pradesh,Maps listing,Needs Fix,Possible duplicate
183,Justdial,Trust Vet Clinic 183,Vet Clinic,NA,NA,Bangalore,Karnataka,Referral,Needs Fix,Possible duplicate
184,Community Referral,Pet NGO 184,NGO,+91 9008073178,Residential area,Delhi,Delhi,Instagram page,Verified,
185,Instagram,Tails NGO 185,NGO,+91 6913564441,Residential area,Pune,Maharashtra,Maps listing,Needs Review,
186,Facebook Group,Happy NGO 186,NGO,NA,Residential area,Noida,Uttar Pradesh,Instagram page,Needs Review,Address incomplete
187,WhatsApp Submission,Care Pet Groomer 187,Pet Groomer,NA,Near main road,Bhopal,Madhya Pradesh,Justdial page,Needs Fix,Address incomplete
188,Community Referral,Happy Vet Clinic 188,Vet Clinic,9870110298,Opposite park,Bhopal,Madhya Pradesh,Instagram page,Submitted,Phone missing
189,Justdial,Pet Vet Clinic 189,Vet Clinic,9476150537,NA,Bhopal,Madhya Pradesh,Maps listing,Needs Review,Possible duplicate
190,Justdial,Paws NGO 190,NGO,NA,Sector area,Pune,Maharashtra,Referral,Verified,Possible duplicate
191,WhatsApp Submission,Animal Vet Clinic 191,Vet Clinic,9504707698,Sector area,Delhi,Delhi,Instagram page,Submitted,
192,Instagram,Pet Pet Boarding 192,Pet Boarding,9282598562,Near main road,Mumbai,Maharashtra,Justdial page,Submitted,
193,Instagram,Happy Vet Clinic 193,Vet Clinic,+91 9051471425,Near main road,Indore,Madhya Pradesh,WhatsApp message,Needs Review,Possible duplicate
194,WhatsApp Submission,Pet NGO 194,NGO,9138769618,Opposite park,Gurgaon,Haryana,Maps listing,Submitted,Possible duplicate
195,Justdial,Pet Pet Shop 195,Pet Shop,+91 8875355994,Sector area,Jaipur,Rajasthan,Instagram page,Ready,
196,Instagram,Pet NGO 196,NGO,9846139237,NA,Pune,Maharashtra,Instagram page,Ready,Address incomplete
197,Community Referral,Tails Vet Clinic 197,Vet Clinic,9492760356,Sector area,Bangalore,Karnataka,Instagram page,Needs Fix,
198,Instagram,Tails Pet Shop 198,Pet Shop,NA,NA,Bhopal,Madhya Pradesh,Referral,Needs Review,
199,Google Maps,Tails Pet Boarding 199,Pet Boarding,+91 8261820329,Residential area,Mumbai,Maharashtra,WhatsApp message,Submitted,Possible duplicate
200,WhatsApp Submission,Animal Feeder 200,Feeder,9191357700,Near main road,Pune,Maharashtra,WhatsApp message,Submitted,Possible duplicate
201,Community Referral,Care Pet Shop 201,Pet Shop,+91 9315697552,Residential area,Bhopal,Madhya Pradesh,Instagram page,Submitted,Possible duplicate
202,Justdial,Paws Pet Shop 202,Pet Shop,+91 6763533566,Near main road,Chennai,Tamil Nadu,Justdial page,Verified,
203,Community Referral,Pet Pet Trainer 203,Pet Trainer,NA,Sector area,Noida,Uttar Pradesh,Instagram page,Ready,Phone missing
204,Instagram,Tails Vet Clinic 204,Vet Clinic,NA,Near main road,Noida,Uttar Pradesh,Maps listing,Needs Review,Possible duplicate
205,WhatsApp Submission,Trust Vet Hospital 205,Vet Hospital,+91 7004595436,Near main road,Jaipur,Rajasthan,Referral,Ready,Possible duplicate
206,Facebook Group,Trust Pet Trainer 206,Pet Trainer,9485544457,Opposite park,Bangalore,Karnataka,Instagram page,Ready,Address incomplete
207,Google Maps,Animal NGO 207,NGO,9755524690,NA,Noida,Uttar Pradesh,Referral,Needs Review,Address incomplete
208,Justdial,Care Pet Groomer 208,Pet Groomer,+91 6761988137,Residential area,Jaipur,Rajasthan,Instagram page,Ready,
209,Instagram,Tails Pet Shop 209,Pet Shop,9504811875,Near main road,Gurgaon,Haryana,Referral,Needs Review,Phone missing
